"El Prado Aut CE0114";"perfil horario"
Hora;"PM10 (μg/m³)";"PM2.5 (μg/m³)";"PST (μg/m³)"
0;23.092;10.64;15.891
1;20.525;9.905;13.833
2;21.357;10.153;18.466
3;21.521;10.118;20.07
4;21.082;10.145;17.088
5;21.404;9.862;16.938
6;21.726;9.904;20.816
7;27.768;12.121;21.524
8;27.06;11.887;21.356
9;26.021;11.568;24.733
10;25.745;11.675;25.544
11;29.209;12.956;31.327
12;30.952;13.696;33.688
13;31.387;13.639;34.9
14;33.388;13.999;29.962
15;36.209;14.434;28.475
16;29.933;12.276;22.096
17;28.698;11.668;20.44
18;28.263;11.301;17.669
19;25.527;10.499;17.426
20;26.762;11.007;18.876
21;27.272;11.022;19.172
22;26.882;11.004;18.804
23;25.445;10.247;16.061
