"CPC - ZM6 CE0327";"perfil horario"
Hora;"Dirección del Viento (°)";"Velocidad del Viento (m/s)";"Humedad Relativa (%)";"Radiación Solar (W/m²)";"Temperatura Ambiente (Celsius)";"Precipitación (mm)";"Presión Atmosférica (mmHg)"
0;172;0;83.185;0;27.518;1.4;750.136
1;86;0;85.092;0;26.954;1.8;749.671
2;86;0;85.513;0;26.49;0.2;749.421
3;329;0;86.32;0;26.158;0;749.391
4;19.558;0;86.857;0;25.872;0.6;749.486
5;357.204;0;86.857;0.312;25.65;1.6;749.794
6;360;0;86.687;43.304;25.451;2.6;750.213
7;360;0;85.727;181.611;26.341;0.6;750.652
8;360;0;82.793;325.949;27.956;0;750.947
9;360;0;79.806;487.941;29.529;0;750.959
10;360;0;74.616;682.754;31.26;0;750.665
11;63;0;68.775;833.14;33.118;0;750.313
12;144;0;65.484;862.88;34.136;0;749.783
13;144.121;0;61.582;862.193;35.075;0;749.149
14;220;0;60.629;721.14;35.573;0;748.579
15;181;0;61.346;498.079;35.206;1.2;748.219
16;181;0;65.523;306.515;34.051;0;748.092
17;222.313;0;70.259;131.497;33.004;0;748.272
18;222.009;0;75.603;12.034;31.587;0;748.601
19;222.009;0;78.629;0;30.138;0;749.007
20;159;0;78.148;0;29.398;0;749.452
21;229;0;79;0;28.997;0;749.82
22;229;0;80.042;0;28.497;0;750.144
23;229;0;81.066;0;27.929;0;750.178
